SERIES_WINNER,SERIES_LOSER,WINNER_GAMES_WON,LOSER_GAMES_WON,WINNER_HOME_GAMES,LOSER_HOME_GAMES,WINNER_SEED,LOSER_SEED,WINNER_CONF,LOSER_CONF,WINNER_WINS,LOSER_WINS,ROUND,HIGHER_SEED,LOWER_SEED,PointsPG_DIFF,OppPointsPG_DIFF,DiffPointsPG_DIFF,E_OFF_RATING_DIFF,OFF_RATING_DIFF,E_DEF_RATING_DIFF,DEF_RATING_DIFF,E_NET_RATING_DIFF,NET_RATING_DIFF,AST_PCT_DIFF,AST_TO_DIFF,AST_RATIO_DIFF,OREB_PCT_DIFF,DREB_PCT_DIFF,REB_PCT_DIFF,TM_TOV_PCT_DIFF,EFG_PCT_DIFF,TS_PCT_DIFF,E_PACE_DIFF,PACE_DIFF,PIE_DIFF,SERIES_WINNER_H2H_WINS,SERIES_LOSER_H2H_WINS,H2H_WIN_RATIO,SEASON
Indiana Pacers,Milwaukee Bucks,3,2,3,2,1,8,East,East,56,42,First Round,Indiana Pacers,Milwaukee Bucks,0.0,-4.0,5.0,1.0,0.29999999999999716,-4.1000000000000085,-4.5,5.2,4.8,0.026000000000000023,0.09000000000000008,0.3999999999999986,-0.05099999999999999,0.02399999999999991,-0.0050000000000000044,-0.009000000000000008,0.009000000000000008,0.013000000000000012,0.09999999999999432,0.4300000000000068,0.03600000000000003,2,2,0.49999987500003124,1999-00
Indiana Pacers,New York Knicks,4,2,3,3,1,3,East,East,56,50,Conf Finals,Indiana Pacers,New York Knicks,9.0,6.0,4.0,6.1000000000000085,5.8999999999999915,2.700000000000003,2.200000000000003,3.5,3.5999999999999996,0.06099999999999994,0.28,1.6999999999999993,-0.0010000000000000009,-0.008000000000000007,-0.0040000000000000036,-0.01100000000000001,0.02100000000000002,0.025000000000000022,3.8999999999999915,4.159999999999997,0.027000000000000024,2,2,0.49999987500003124,1999-00
Indiana Pacers,Philadelphia 76ers,4,2,3,3,1,5,East,East,56,49,Conf Semis,Indiana Pacers,Philadelphia 76ers,6.0,4.0,4.0,7.400000000000006,6.8999999999999915,3.299999999999997,3.4000000000000057,4.3,3.5999999999999996,0.0020000000000000018,0.18000000000000016,0.8999999999999986,-0.059,0.010999999999999899,-0.01200000000000001,-0.016000000000000014,0.045999999999999985,0.051000000000000045,0.29999999999999716,0.45000000000000284,0.026000000000000023,2,2,0.49999987500003124,1999-00
Los Angeles Lakers,Indiana Pacers,4,2,3,3,1,1,West,East,67,56,NBA Finals,Los Angeles Lakers,Indiana Pacers,0.0,-5.0,4.0,-1.3000000000000114,-1.3999999999999915,-5.200000000000003,-5.299999999999997,3.8,3.9000000000000004,0.0030000000000000027,0.07999999999999985,-0.10000000000000142,0.04799999999999999,0.014000000000000012,0.026000000000000023,-0.0030000000000000027,-0.019000000000000017,-0.027000000000000024,0.20000000000000284,0.3400000000000034,0.038999999999999924,1,1,0.499999750000125,1999-00
Los Angeles Lakers,Phoenix Suns,4,1,3,2,1,5,West,West,67,53,Conf Semis,Los Angeles Lakers,Phoenix Suns,2.0,-2.0,4.0,2.799999999999997,2.700000000000003,-0.6000000000000085,-0.8999999999999915,3.4000000000000004,3.5999999999999996,-0.06600000000000006,0.1499999999999999,-1.4000000000000021,0.008000000000000007,0.028999999999999915,0.018000000000000016,-0.026999999999999996,-0.007000000000000006,-0.007000000000000006,-0.9000000000000057,-0.6299999999999955,0.030999999999999917,4,0,0.9999997500000625,1999-00
Los Angeles Lakers,Portland Trail Blazers,4,3,4,3,1,3,West,West,67,59,Conf Finals,Los Angeles Lakers,Portland Trail Blazers,3.0,1.0,2.0,-0.5,-1.0999999999999943,-2.1000000000000085,-3.0999999999999943,1.5999999999999996,2.0999999999999996,-0.025000000000000022,0.1299999999999999,-0.8000000000000007,-0.01100000000000001,0.01200000000000001,-0.0050000000000000044,-0.020000000000000018,-0.017000000000000015,-0.02100000000000002,3.3999999999999915,4.010000000000005,0.013999999999999901,2,2,0.49999987500003124,1999-00
Los Angeles Lakers,Sacramento Kings,3,2,3,2,1,8,West,West,67,44,First Round,Los Angeles Lakers,Sacramento Kings,-4.0,-10.0,6.0,2.6999999999999886,1.8000000000000114,-4.300000000000011,-4.299999999999997,7.0,6.1,0.016000000000000014,0.20999999999999996,0.3999999999999986,0.016000000000000014,0.025999999999999912,0.025000000000000022,-0.014000000000000012,-0.0020000000000000018,-0.0010000000000000009,-6.1000000000000085,-5.61999999999999,0.05999999999999994,3,1,0.7499998125000469,1999-00
Miami Heat,Detroit Pistons,3,0,2,1,2,7,East,East,52,42,First Round,Miami Heat,Detroit Pistons,-10.0,-11.0,1.0,-2.3999999999999915,-2.700000000000003,-5.3999999999999915,-4.3999999999999915,2.9,1.7000000000000002,0.08799999999999997,0.24,2.6000000000000014,0.009000000000000008,0.0020000000000000018,0.013000000000000012,0.0030000000000000027,0.0030000000000000027,-0.015000000000000013,-6.0,-6.340000000000003,0.03700000000000003,2,2,0.49999987500003124,1999-00
New York Knicks,Miami Heat,4,3,3,4,3,2,East,East,50,52,Conf Semis,Miami Heat,New York Knicks,-2.0,0.0,-2.0,-2.4000000000000057,-1.5999999999999943,0.3999999999999915,0.09999999999999432,-2.8,-1.6,-0.10099999999999998,-0.25,-2.5,-0.02699999999999997,0.0030000000000000027,-0.01200000000000001,-0.0030000000000000027,-0.013000000000000012,-0.006000000000000005,-0.5,-0.6799999999999926,-0.03600000000000003,1,3,0.24999993750001562,1999-00
New York Knicks,Toronto Raptors,3,0,2,1,3,6,East,East,50,45,First Round,New York Knicks,Toronto Raptors,-5.0,-6.0,1.0,-2.0,-1.7999999999999972,-3.6000000000000085,-3.299999999999997,1.7,1.6,-0.10499999999999998,-0.3899999999999999,-1.8999999999999986,-0.046999999999999986,0.0129999999999999,-0.0030000000000000027,0.013000000000000012,0.01799999999999996,0.016000000000000014,-3.5,-3.759999999999991,0.007000000000000006,1,3,0.24999993750001562,1999-00
