LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedPlayoffBirth,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsWest,vsPacific,vsMidwest,Jan,Feb,Mar,Apr,Oct,Nov,Dec,PreAS,TEAM_NAME,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
0,22002,1610612759,San Antonio,Spurs,West,36-16,1,Midwest,17-7,1,60,22,0.732,60-22,33-8,27-14,8-2,,,5-1,12-5,26-6,,,,,,,,,,,-1,L 1,0.0,0.0,1,49-7,1-1,10-14,52-7,2-0,6-15,28-1,10-7,34-13,53-7,36-8,26-5,96.0,90.0,5.0,24-6,9-5,15-1,36-16,19-9,17-7,,,,,,,,33-16,San Antonio Spurs,3966.0,103.1,103.9,96.6,98.1,6.5,5.8,0.563,1.26,15.9,0.311,0.687,0.508,0.171,0.497,0.541,92.5,91.46,76.21,7558,0.549,1,1,1,14,8,3,3,25,24,21,16,16,12,24,4,3,20,3
0,22002,1610612765,Detroit,Pistons,East,35-19,1,Central,19-9,1,50,32,0.61,50-32,30-11,20-21,4-6,,,8-0,10-9,27-11,,,,,,,,,,,-1,L 1,0.0,0.0,1,32-9,2-2,16-21,38-3,1-4,11-25,18-0,5-8,17-21,36-5,26-9,31-11,91.0,88.0,4.0,35-19,16-10,19-9,15-13,6-8,9-5,,,,,,,,32-15,Detroit Pistons,3981.0,101.4,102.4,97.3,98.2,4.2,4.2,0.6,1.47,16.2,0.294,0.707,0.499,0.151,0.473,0.523,89.1,88.26,73.55,7318,0.525,5,5,5,5,17,4,5,14,15,18,24,2,15,7,14,14,29,8
0,22002,1610612751,New Jersey,Nets,East,34-20,2,Atlantic,16-8,1,49,33,0.598,49-33,33-8,16-25,5-5,,,1-2,2-7,31-8,,,,,,,,,,,-2,L 2,1.0,0.0,1,41-11,1-0,7-22,45-9,1-2,3-22,24-5,3-13,17-18,44-4,34-11,33-19,95.0,90.0,5.0,34-20,16-8,18-12,15-13,8-6,7-7,,,,,,,,34-15,New Jersey Nets,3951.0,100.6,102.1,95.5,96.6,5.1,5.4,0.649,1.56,17.6,0.317,0.702,0.51,0.158,0.468,0.518,94.2,93.0,77.5,7661,0.544,8,8,8,26,20,1,4,4,9,6,13,4,8,16,21,18,11,5
0,22002,1610612758,Sacramento,Kings,West,36-16,2,Pacific,17-7,1,59,23,0.72,59-23,35-6,24-17,8-2,,,3-3,11-2,31-11,,,,,,,,,,,2,W 2,1.0,0.0,1,44-4,3-0,12-19,47-3,5-1,7-19,38-11,8-18,28-17,52-4,30-3,30-6,102.0,95.0,7.0,23-7,11-3,12-4,36-16,17-7,19-9,,,,,,,,34-17,Sacramento Kings,3966.0,103.1,104.4,96.3,97.8,6.8,6.6,0.627,1.71,18.3,0.289,0.678,0.493,0.149,0.499,0.535,98.0,96.63,80.52,7987,0.551,3,3,3,14,6,2,2,6,4,3,25,20,21,6,2,5,1,1
0,22002,1610612754,Indiana,Pacers,East,35-19,3,Central,19-9,2,48,34,0.585,48-34,32-9,16-25,6-4,,,6-2,9-7,23-14,,,,,,,,,,,2,W 2,2.0,2.0,1,32-10,1-4,15-20,43-6,0-4,5-24,29-5,8-16,18-21,35-9,33-16,26-14,97.0,93.0,4.0,35-19,16-10,19-9,13-15,6-8,7-7,,,,,,,,34-15,Indiana Pacers,3981.0,101.6,103.2,97.9,99.6,3.7,3.5,0.656,1.58,17.7,0.318,0.694,0.509,0.157,0.469,0.522,94.2,92.71,77.26,7696,0.538,9,9,9,5,13,5,6,2,7,4,12,10,11,12,20,16,12,6
0,22002,1610612742,Dallas,Mavericks,West,34-18,3,Midwest,18-6,2,60,22,0.732,60-22,33-8,27-14,6-4,,,2-2,6-7,36-6,,,,,,,,,,,3,W 3,0.0,0.0,1,44-10,2-3,14-9,49-4,3-3,8-15,43-9,14-17,25-16,47-3,26-4,49-18,103.0,95.0,8.0,26-4,13-1,13-3,34-18,16-12,18-6,,,,,,,,38-10,Dallas Mavericks,3956.0,108.2,109.3,99.4,101.0,8.8,8.3,0.581,1.94,17.3,0.277,0.677,0.478,0.123,0.498,0.543,95.0,93.75,78.12,7726,0.546,1,1,1,24,1,11,1,20,1,10,28,22,27,1,3,1,8,4
0,22002,1610612750,Minnesota,Timberwolves,West,33-19,4,Midwest,15-9,3,51,31,0.622,51-31,33-8,18-23,5-5,,,3-2,5-3,21-15,,,,,,,,,,,3,W 3,9.0,9.0,1,39-13,2-1,10-17,44-3,2-0,5-28,28-4,8-21,21-23,50-9,33-11,27-11,98.0,96.0,2.0,18-12,7-7,11-5,33-19,18-10,15-9,,,,,,,,29-20,Minnesota Timberwolves,3961.0,103.5,104.8,100.6,102.5,2.9,2.2,0.653,1.84,19.0,0.31,0.695,0.508,0.146,0.488,0.528,94.6,93.08,77.57,7681,0.529,4,4,4,20,5,16,11,3,2,2,17,9,13,3,6,7,9,7
0,22002,1610612755,Philadelphia,76ers,East,35-19,4,Atlantic,17-7,2,48,34,0.585,48-34,25-16,23-18,5-5,,,4-3,8-6,20-12,,,,,,,,,,,1,W 1,2.0,1.0,1,30-10,1-1,17-23,38-6,1-2,9-26,23-7,7-18,19-22,33-5,27-16,36-16,97.0,95.0,2.0,35-19,17-7,18-12,13-15,6-8,7-7,,,,,,,,25-24,Philadelphia 76ers,3971.0,101.8,103.2,100.0,100.6,1.8,2.6,0.595,1.46,16.5,0.324,0.704,0.509,0.158,0.466,0.52,94.0,93.07,77.56,7694,0.516,9,9,9,10,12,9,8,17,16,14,9,3,10,14,23,17,10,11
0,22002,1610612747,Los Angeles,Lakers,West,33-19,5,Pacific,15-9,2,50,32,0.61,50-32,31-10,19-22,8-2,,,6-3,8-5,26-14,,,,,,,,,,,2,W 2,10.0,9.0,1,35-7,4-1,11-24,43-5,1-1,6-26,36-7,13-18,24-19,44-4,35-9,23-14,100.0,98.0,2.0,17-13,6-8,11-5,33-19,15-9,18-10,,,,,,,,24-23,Los Angeles Lakers,3986.0,104.1,105.6,101.8,103.4,2.3,2.2,0.618,1.6,17.4,0.328,0.693,0.509,0.153,0.486,0.528,95.2,93.78,78.15,7797,0.52,5,5,5,1,4,19,12,10,6,8,8,11,9,11,8,9,7,9
0,22002,1610612740,New Orleans,Hornets,East,32-22,5,Central,17-11,3,47,35,0.573,47-35,29-12,18-23,7-3,,,5-4,7-7,19-11,,,,,,,,,,,5,W 5,3.0,3.0,1,31-9,1-0,15-26,37-6,3-1,7-28,23-3,4-10,17-21,33-7,36-16,25-12,94.0,92.0,2.0,32-22,15-11,17-11,15-13,8-6,7-7,,,,,,,,26-24,New Orleans Hornets,3981.0,100.6,102.4,98.4,100.0,2.3,2.4,0.62,1.49,17.0,0.345,0.697,0.518,0.161,0.465,0.511,92.3,90.72,75.6,7522,0.517,11,11,11,5,18,6,10,9,12,13,4,8,3,18,24,25,23,10
